# Matrix Programs

## Agents

| Type | Rating | Availability | Cost | Source |
|------|--------|--------------|------|--------|
| Agent | 1-3 | Rating × 3 | Rating × 1000¥ | SR5 |
| Agent | 4-6 | Rating × 3 | Rating × 2000¥ | SR5 |

Agents are autonomous programs rated from 1 to 6. Each agent occupies one program slot on your deck. Agents use the Matrix attributes of the device they run on, and their rating (up to 6) for attributes. Agents also have the Computer, Hacking, and Cybercombat skills at a rating equal to their own. An agent runs as a program and can use programs running on the same device as them.

You can have your agent perform Matrix actions for you. When an agent is running, it has its own persona (and icon). An agent is about as smart as a pilot program of the same rating.

Any attack on an agent damages the device on which it is running, rather than the agent itself (which is, after all, merely a program). This means that if you're running an agent on your deck, you and it share the same Matrix Condition Monitor.

## Commlink Apps

| Name | Description | Source |
|------|-------------|--------|
| AR Games | Casual games displayed in augmented reality, allowing a user to enjoy them as a pastime while also still somewhat paying attention to reality. | SR5 |
| Diagnostics | An ongoing self-evaluation system that monitors all the devices in a user's PAN, giving constant vital statistics on their behavior. Popular with computer-literate users and useful for keeping people aware of attacks against their PAN. | SR5 |
| P2.1 | A dramatic update to the old P2.0 system put into place by Horizon, this social networking app monitors and supports all other social networks that a person might use, incorporating it all into a dramatic web of information. It also generates a P-Score that is a major piece of status in a lot of virtual places and within Horizon as a whole. | SR5 |
| Theme Music | An algorithm that constantly monitors the owner of the PAN in all their interactions with devices. Taking this data, it attempts to determine the emotional state of the person and generates a playlist of songs to better support said user, either enhancing the feelings or dampening them. Essentially the mood ring of the Sixth World. | SR5 |
| Ticker | A series of commlink apps that provide an information feed from a specified source, the vast majority being legitimate, such as stock markets and news organizations. Some shadow services also use these apps to give details on other shadowrunners, fixers, Mr. Johnsons, police response times, and current payment rates for a variety of services and bribes. Ticker reduces the time for subject-related Matrix Searches in half. | SR5 |

A commlink can run as many apps as half its Device Rating, rounded up.

## Common Programs

| Name | Action/Effect | Description | Source |
|------|---------------|-------------|--------|
| Bootstrap | Format Device | Set up a variety of tasks in the boot record. Allows for hidden commands to be input into the device after the next reboot. Popular options include announcing the location of the device when it connects to the Matrix, adjusting the processing of the device so that the default device attributes are the choice of the user, annoying the user with constant demands for ownership permissions, and making a record of every action on the device. | SR5 |
| Browse | Matrix Search Action - Halve Time | This handy browser and search engine cuts the time for a Matrix Search action in half. | SR5 |
| Configurator | Swap Two Attributes / Change to preset configuration / Un/Load Program | Load preset program configurations, swap two attributes, or change to a preset configuration. | SR5 |
| Edit | Edit File | Standard file editing program. | SR5 |
| Encryption | Encrypt/Decrypt File | Standard encryption/decryption program. | SR5 |
| Search | Matrix Search | Standard Matrix search program. | SR5 |
| Shredder | Delete File | Standard file deletion program. | SR5 |
| Signal Scrub | Reduce Noise | Reduces noise in Matrix connections. | SR5 |
| Toolbox | Repair | Assists in repairing devices. | SR5 |
| Virtual Machine | Run Programs | Allows running programs in an isolated environment. | SR5 |

## Hacking Programs

| Name | Action/Effect | Description | Source |
|------|---------------|-------------|--------|
| Armor | Matrix Damage | +1 dice pool modifier to resist Matrix damage. This modifier stacks with similar modifiers from other programs. | SR5 |
| Baby Monitor | Matrix Perception | +2 dice pool modifier to Matrix Perception tests. | SR5 |
| Biofeedback | Biofeedback Damage | +1 DV biofeedback damage caused. | SR5 |
| Biofeedback Filter | Biofeedback Damage | +1 dice pool modifier to resist biofeedback damage. This modifier stacks with similar modifiers from other programs. | SR5 |
| Blackout | Reboot Device | +2 to Attack attribute for Reboot Device attempts. | SR5 |
| Cat's Paw | Brute Force | +2 to Attack attribute for Brute Force attempts. | SR5 |
| Cloudless | Noise | Reduces noise by 1. | SR5 |
| Crash | Crash Program | +2 to Attack attribute for Crash Program attempts. | SR5 |
| Decryption | Decrypt File | +2 to Data Processing attribute for Decrypt File attempts. | SR5 |
